torque,tool_wear,air_temperature,rotational_speed,process_temperature,type_enc,machine_failure
46.5,75,298.9,1365,309.9,1,0
52.9,130,298.4,1344,308.7,0,0
36.8,78,298.9,1571,310.1,1,0
50.3,183,302.3,1433,311.8,1,0
57.2,67,302.6,1359,310.4,1,1
40.6,205,303.3,1536,311.8,2,0
58.7,213,303.8,1256,313.1,1,1
28.5,141,298.4,1651,309.2,1,0
28.2,207,300.4,1766,309.3,1,0
32.1,207,301.4,1689,310.0,2,0
45.4,70,297.5,1443,309.4,1,0
40.9,104,299.5,1472,310.7,1,0
30.5,90,302.5,1751,310.2,2,0
29.7,64,300.0,1675,310.2,1,0
54.8,253,302.6,1454,312.3,2,1
52.8,154,302.0,1407,309.9,1,0
30.4,92,300.1,1731,309.1,2,0
65.8,75,301.6,1309,310.6,2,1
44.4,85,302.0,1370,310.5,1,1
35.5,15,298.2,1614,308.9,2,0
44.9,85,297.2,1456,307.9,2,0
56.7,203,297.7,1373,308.5,1,1
50.0,156,298.4,1491,308.1,1,0
34.4,7,302.0,1546,310.9,1,0
56.6,126,297.1,1351,308.2,1,0
12.2,100,301.1,2636,310.7,2,1
31.4,133,301.9,1595,309.7,1,0
35.8,205,300.9,1523,310.7,1,0
40.0,130,296.8,1513,307.6,1,0
44.7,55,300.6,1448,310.6,0,0
57.8,195,301.6,1355,310.8,1,1
46.2,165,297.0,1414,307.9,2,0
45.1,168,302.4,1351,310.2,1,1
51.3,51,303.4,1295,311.7,1,1
13.0,5,303.8,2497,313.1,1,1
34.3,106,301.9,1590,310.9,0,0
66.7,12,298.5,1294,309.5,1,1
31.6,41,299.1,1649,310.1,2,0
60.2,24,300.6,1282,311.5,0,0
43.5,160,300.3,1545,311.7,1,0
52.7,135,302.5,1335,311.8,1,0
12.8,81,300.4,2563,309.9,0,1
54.2,228,303.2,1324,311.4,1,1
44.7,76,300.7,1435,309.7,2,0
29.9,210,297.7,1720,308.5,0,0
72.0,151,297.5,1334,308.1,2,1
47.5,168,297.0,1414,307.8,1,0
43.7,46,297.2,1431,308.3,2,0
53.3,212,298.7,1354,309.8,1,1
46.8,166,302.3,1377,310.9,1,1
39.0,90,301.9,1519,310.8,1,0
46.0,234,303.3,1497,311.4,1,1
44.0,65,301.9,1398,310.3,1,0
68.2,111,301.7,1284,309.8,2,1
21.3,44,301.2,1951,310.7,1,0
23.1,2,302.2,1928,311.2,1,0
71.8,149,300.2,1255,311.0,1,1
39.3,187,297.3,1506,308.7,1,0
30.0,3,298.2,1658,308.0,1,0
62.7,142,302.0,1386,309.7,2,1
46.3,210,302.1,1376,310.7,2,1
50.2,222,300.7,1399,311.9,1,1
60.7,191,299.2,1345,309.1,1,1
61.0,186,297.8,1327,307.3,1,1
66.1,40,300.4,1282,310.0,1,0
18.5,204,300.3,2141,311.8,0,0
55.7,204,301.9,1340,310.5,1,1
36.7,0,298.5,1613,309.7,1,0
62.9,134,299.4,1446,308.7,1,1
30.9,156,300.3,1606,311.1,1,0
58.0,108,302.0,1357,310.4,1,1
35.9,110,300.5,1661,311.5,1,0
61.0,186,297.8,1327,307.3,1,1
36.2,42,297.6,1617,309.5,1,0
44.6,223,303.3,1484,311.6,1,0
39.2,133,296.9,1535,307.9,1,0
32.6,184,297.1,1615,308.4,2,0
43.4,29,301.8,1546,310.8,1,0
56.8,187,303.3,1337,311.6,1,1
47.3,15,300.3,1445,311.7,1,0
44.2,115,298.9,1500,309.9,1,0
65.9,203,298.7,1181,309.8,1,1
62.5,200,304.0,1363,312.9,1,1
52.9,86,303.6,1309,312.0,1,1
26.4,146,297.2,1677,308.4,1,0
55.6,79,302.0,1212,310.4,2,1
39.4,80,299.3,1496,308.5,2,0
41.5,108,297.2,1392,308.6,1,0
46.6,197,299.7,1418,310.8,0,0
28.7,124,303.6,1781,312.4,1,0
37.4,115,297.4,1533,308.2,1,0
9.7,143,301.0,2710,312.2,2,1
5.8,215,301.8,2825,310.2,1,1
18.9,232,300.7,2097,311.7,2,1
30.3,49,298.1,1691,308.7,1,0
33.1,155,297.6,1611,309.2,1,0
50.7,43,296.9,1409,308.0,2,0
46.9,75,300.1,1321,309.6,1,0
50.3,208,299.3,1420,308.7,2,0
26.4,169,300.3,1807,309.2,1,0
42.4,149,298.9,1449,308.4,0,0
52.2,40,302.8,1312,310.9,1,1
24.2,125,299.3,1775,309.2,1,0
36.9,153,300.7,1512,312.1,1,0
45.3,233,301.8,1442,309.7,1,1
60.7,125,302.7,1297,311.1,2,1
11.8,124,301.8,2672,310.6,1,1
31.8,73,300.3,1597,309.6,1,0
44.7,164,301.5,1469,310.9,1,0
63.0,163,298.9,1243,310.3,0,0
67.5,208,300.5,1270,311.2,1,1
37.5,203,299.3,1542,308.4,2,1
53.2,159,302.2,1334,310.6,1,1
47.9,222,300.3,1374,311.7,2,1
52.8,200,298.8,1384,310.5,1,0
34.5,117,298.9,1742,308.5,1,0
29.1,176,297.9,1687,307.6,1,0
36.1,110,301.4,1565,310.6,2,0
40.4,75,300.1,1485,311.4,0,0
39.0,181,297.4,1376,308.9,2,0
51.6,205,302.5,1414,311.9,2,0
38.6,52,302.0,1495,310.9,1,0
23.4,225,299.6,1867,309.2,2,1
32.1,49,297.6,1659,308.7,0,0
47.1,83,301.3,1406,310.5,1,0
47.9,163,300.3,1490,309.2,2,0
61.3,124,299.9,1254,309.6,1,0
44.9,61,303.3,1441,311.8,2,0
39.9,175,297.0,1500,307.8,1,0
30.5,13,299.9,1683,309.2,2,0
64.2,0,297.8,1403,309.0,1,1
53.5,59,302.3,1386,311.2,1,0
37.8,0,301.7,1622,310.8,1,0
42.8,104,299.0,1447,310.1,1,0
30.3,128,297.1,1790,308.2,0,0
49.3,41,302.1,1359,310.7,1,1
19.7,169,301.2,1984,309.9,1,0
26.2,164,297.5,1761,308.7,1,0
46.0,234,303.3,1497,311.4,1,1
33.5,5,299.5,1589,310.7,1,0
50.8,2,301.5,1400,310.9,1,0
57.3,147,302.0,1280,309.8,0,1
17.9,178,301.0,2047,310.9,2,0
51.6,137,299.8,1374,309.6,1,0
63.0,13,298.1,1331,308.3,1,0
40.6,82,300.6,1455,310.7,1,0
28.9,59,301.7,1686,310.2,1,0
40.6,9,300.0,1465,309.1,1,0
66.3,42,298.5,1301,308.2,1,1
57.9,191,300.5,1368,311.8,1,1
57.3,147,302.0,1280,309.8,0,1
67.5,20,299.1,1320,308.8,1,1
49.3,82,303.5,1393,312.7,1,0
43.2,27,300.9,1444,310.5,2,0
53.1,212,302.0,1378,310.9,1,1
53.5,199,300.0,1314,310.1,2,0
12.8,81,300.4,2563,309.9,0,1
33.3,141,297.0,1569,307.9,2,0
35.9,81,300.9,1565,310.5,1,0
21.3,92,300.4,1868,311.9,1,0
28.2,76,298.1,1761,307.8,1,0
24.6,210,301.6,1813,310.7,2,0
45.7,11,300.0,1463,309.1,2,0
53.9,135,298.8,1425,309.2,0,0
25.2,77,298.1,1752,309.3,2,0
27.6,64,298.4,1806,309.3,1,0
37.5,6,300.3,1537,310.0,2,0
65.3,182,302.0,1270,311.2,1,1
42.9,191,300.2,1440,310.2,1,0
43.2,132,298.7,1441,308.4,2,0
26.5,167,299.6,1713,309.2,1,0
31.8,154,300.4,1496,309.9,1,0
53.7,200,302.9,1330,311.2,2,1
45.4,204,300.5,1447,311.6,1,0
50.9,200,303.4,1366,311.8,1,1
36.3,5,298.0,1503,308.7,0,0
50.0,201,298.4,1385,309.4,1,0
37.7,45,297.3,1519,308.3,1,0
51.9,218,297.6,1391,308.4,2,0
